
Devices
1500
,,Myon - Voltage,,,,,,,,,,,,,,,,Contrex - Angle,Contrex - Angular Velocity,Contrex - Force,
Frame,Sub Frame,LTibA1,LPer2,LSol3,LGas4,LRec5,LVas6,LHam7,LGlut8,RTibA9,RPer10,RSol11,RGas12,RRec13,RVas14,RHam15,RGlut16,Angle,Angular velocity,Torque
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,deg,deg/s,N
4,11,1.89209e-05,0.000151215,3.44849e-05,3.61633e-05,9.76562e-06,0.000187683,-0.000241089,-4.57764e-05,5.34058e-05,9.39941e-05,8.8501e-06,-6.2561e-06,0.000110168,8.69751e-06,9.20105e-05,-0.0020784,30.6681,0.126554,14.9616
4,12,1.34277e-05,0.000144806,1.43433e-05,4.89807e-05,9.30786e-06,0.000127411,-0.000238647,-5.50842e-05,6.92749e-05,0.000102234,3.8147e-06,0.000106354,0.00015213,7.62939e-06,6.95801e-05,-0.0020433,30.6725,0.123813,14.9538
4,13,8.69751e-06,0.000142822,-9.61304e-06,5.2948e-05,6.71387e-06,7.56836e-05,-0.000237274,-5.76782e-05,6.80542e-05,-1.80054e-05,5.34058e-06,3.05176e-07,8.45337e-05,9.15527e-06,-2.01416e-05,-0.00201523,30.6771,0.121063,14.9457
4,14,1.35803e-05,0.000141907,-1.83105e-06,8.91113e-05,8.39233e-06,0.000214386,-0.000236816,0.000117035,-2.22778e-05,-1.05286e-05,5.64575e-06,-7.41577e-05,8.23975e-06,6.2561e-06,-1.38855e-05,-0.00198547,30.6818,0.118318,14.9372
5,0,1.75476e-05,0.000140686,9.15527e-07,0.000103607,7.32422e-06,0.000345459,0.000174408,0.000317078,1.67847e-06,3.96729e-06,6.2561e-06,1.58691e-05,0.000123749,5.79834e-06,-3.15857e-05,-0.00195999,30.6865,0.115595,14.9285
5,1,2.57874e-05,0.000137787,9.15527e-07,8.54492e-05,9.15527e-06,0.000332642,0.000130615,0.000366669,0.000101318,-2.01416e-05,8.69751e-06,-5.92041e-05,0.000252533,5.95093e-06,-8.54492e-06,-0.00192963,30.6913,0.112913,14.9195
5,2,2.19727e-05,0.000136719,1.26648e-05,-1.83105e-06,9.76562e-06,0.000157928,4.08936e-05,0.000244904,7.94983e-05,-7.79724e-05,1.05286e-05,-4.57764e-06,0.000404968,7.93457e-06,5.08118e-05,-0.00190369,30.6961,0.110288,14.9104
5,3,2.41089e-05,0.000132294,-7.78198e-06,-5.34058e-06,7.01904e-06,6.92749e-05,-1.60217e-05,0.000133972,8.08716e-06,-7.23267e-05,5.18799e-06,2.62451e-05,0.000300598,9.46045e-06,1.00708e-05,-0.00187332,30.7008,0.107732,14.9011
5,4,2.0752e-05,0.000133057,-1.26648e-05,3.08228e-05,7.01904e-06,3.06702e-05,-2.74658e-06,6.68335e-05,-1.35803e-05,-7.5531e-05,8.8501e-06,-3.92151e-05,0.000372772,5.64575e-06,-5.63049e-05,-0.00108246,30.7054,0.10526,14.8918
5,5,1.67847e-05,0.000127411,2.0752e-05,0.000139618,7.62939e-06,1.64795e-05,0.000218353,-2.28882e-06,2.22778e-05,-5.90515e-05,8.69751e-06,-1.75476e-05,0.00042099,9.91821e-06,-8.27026e-05,-2.86865e-05,30.7098,0.102888,14.8825
